Enska,Almennt heiti,Ég er frá,"Opinb. 
tungumál",Ég tala
Afghani­stan,Afgan­i­stan,Afganistan,pastó persneska,pastó persnesku
Albania,Albanía,Albaníu,albanska,albönsku
Algeria,Alsír,Alsír,arabíska,arabísku
Andorra,Andorra,Andorra,katalónska,katalónsku
Angola,Angóla,Angóla,portúgalska,portúgölsku
Antigua and Barbuda,"Antígva og Barbúda
Antigua og Barbuda",Antígva og Barbúda,enska,ensku
Argentina,Argentína,Argentínu,spænska,spænsku
Armenia,Armenía,Armeníu,armenska,armensku
Azerbaijan,"Aserb­aísjan
Azerbaijan",Aserbaísjan,aserska ,asersku 
Austria,Austurríki,Austurríki,þýska ,þýsku 
Australia,Ástralía,Ástralíu,enska,ensku
Bahamas (the),Bahama­eyjar,Bahamaeyjum,enska,ensku
United States of America (the),Banda­ríkin,Bandaríkjunum,enska,ensku
Bangla­desh,"Bangla­dess
Bangla­desh",Bangladess,beng­alska ,beng­ölsku 
Barbados,Barbados,Barbados,enska,ensku
Bahrain,Barein,Barein,"arabíska 
","arabísku 
"
Belarus,"Hvíta-Rússland
Belarús",Hvíta-Rússlandi,"hvítrúss­neska 
rúss­neska ","hvítrúss­nesku 
rúss­nesku "
Belgium,Belgía,Belgíu,"franska 
hollenska 
[flæmska]

þýska ","frönsku 
hollensku 
flæmsku

þýsku"
Belize,"Belís
Belize",Belís,enska,ensku
Benin,Benín,Benín,franska,frönsku
Bosnia and Herze­govina,"Bosnía og Hers­egóv­ína
Bosnia og Herz­egov­ina",Bosníu og Hersegóvínu,"bosníska 
króatíska 
serbneska ","bosnísku 
króatísku 
serbnesku "
Botswana,"Botsvana
Botswana",Botsvana,enska,ensku
Bolivia (Pluri­national State of),Bólivía,Bólivíu,"spænska 
 ","spænsku 
 "
Brazil,Brasilía,Brasilíu,port­úgalska ,port­úgölsku 
United Kingdom of Great Britain and Northern Ireland (the),Bretland,Bretlandi,enska,ensku
Brunei Darus­salam,Brúnei,Brúnei,"enska
malajíska 
","ensku
malajísku 
"
Bulgaria,Búlgaría,Búlgaríu,búlg­arska ,búlg­örsku 
Burkina Faso,Búrkína Fasó,Búrkína Fasó,franska ,frönsku 
Burundi,Búrúndí,Búrúndí,"búr­úndíska 
franska","búr­úndísku 
frönsku"
Bhutan,Bútan,Bútan,bútanska ,bútansku 
Cabo Verde,Finnlandi,Grænhöfðaeyjum / Cabo Verde,port­úgalska ,port­úgölsku 
Chad,"Tjad
Chad",Tjad,"arabíska 
franska ","arabísku 
frönsku "
Chile,"Chile
Síle",Síle / Chile,"spænska 
 ","spænsku 
 "
Costa Rica,"Kosta Ríka
Costa Rica",Kosta Ríka / Kosta Ríku,"spænska 
 ","spænsku 
 "
Colombia,"Kólumbía
Colombia",Kólumbíu,"spænska 
 ","spænsku 
 "
Côte d‘Ivoire,"Fílabeins­ströndin
Côte d‘Ivoire",Fílabeinsströndinni,"franska 
","frönsku 
"
Denmark,Danmörk,Danmörku,"danska 
",dönsku 
Djibouti,Djibútí,Dijibútí,"arabíska 
franska 
","arabísku 
frönsku 
"
Dominica,Dóminíka,Dóminíku,enska,ensku
Dominican Republic (the),Dóminíska lýðveldið,Dóminíska lýðveldinu,"spænska 
 ","spænsku 
 "
Egypt,Egypta­land,Egyptalandi,arabíska ,arabísku 
Estonia,Eistland,Eistlandi,"eist­neska 
","eist­nesku 
"
Ecuador,Ekvador,Ekvador,"spænska 
 ","spænsku 
 "
El Salvador,El Salvador,El Salvador,"spænska 
 ","spænsku 
 "
Eritrea,Eritrea,Eritreu,"arabíska 
enska 
tígrinja ","arabísku 
ensku 
tígrinja "
Eswatini,Esvatíní,Esvatini,"enska
svas­lenska ","ensku
svas­lensku "
Ethiopia,Eþíópía,Eþíópíu,amhar­íska ,amhar­ísku 
Fiji,"Fídjí
Fiji",Fídjí,"enska 
fídjíska 
","ensku 
fídjísku "
Philippines (the),Filipps­eyjar,Filippseyjum,"enska 
tagalog ","ensku 
tagalog "
Finland,Finnland,Finnlandi,"finnska 
sænska 
","finnsku 
sænsku "
Côte d‘Ivoire,"Fíla­beins­strönd­in→ Côte d´Ivoire, 
Fíla­beins­strönd­in",Fílabeinsströndinni,franska,frönsku
France,Frakkland,Frakklandi,franska,frönsku
Gabon,Gabon,Gabon,franska,frönsku
Gambia (the),Gambía,Gambíu,enska,ensku
Ghana,"Gana
Ghana",Gana,enska,ensku
Georgia,Georgía,Georgíu,"georg­íska
","georg­ísku
"
Guinea,Gínea,Gíneu,franska,frönsku
Guinea-Bissau,Gínea-Bissaú,Gíneu-Bissaú,"port­úgalska 
","port­úgölsku 
"
Grenada,Grenada,Grenada,enska,ensku
Greece,Grikk­land,Grikklandi,gríska ,grísku 
Cabo Verde,"Græn­höfða­eyjar→ Cabo Verde, 
Græn­höfða­eyjar",Grænhöfðaeyjum / Cabo Verde,"port­úgalska 
","port­úgölsku 
"
Guatemala,"Gvatemala
Guatemala",Gvatemala,"spænska 
 ","spænsku 
 "
Guyana,"Gvæjana
Guyana",Gvæjana,enska,ensku
Haiti,Haítí,Haítí,"franska 

haítíska 
","frönsku 

haítísku 
"
Nether­lands (the),"Holland
Niðurland",Hollandi / Niðurlandi,"hol­lenska 
","hol­lensku 
"
Honduras,Hondúras,Hondúras,"spænska 
 ","spænsku 
 "
Belarus,"Hvíta-Rússland→ Belarús, 
Hvíta-Rússland",Hvíta-Rússlandi,"hvít­rúss­neska 

rúss­neska 
","hvít­rúss­nesku 

rúss­nesku 
"
India,Indland,Indlandi,"enska
hindí ","ensku
hindí "
Indonesia,Indónesía,Indónesíu,indónes­íska ,indónes­ísku 
Iraq,Írak,Írak,"arabíska 
","arabísku 
"
"Iran
(Islamic Republic of)",Íran,Íran,"pers­neska 

[vesturfarsí]","pers­nesku 

vesturfarsí"
Ireland,Írland,Írlandi,"enska
írska ","ensku
írsku "
Iceland,Ísland,Íslandi,"íslenska 
","íslensku 
"
Israel,Ísrael,Ísrael,"arabíska 

hebreska 
","arabísku 

hebresku 
"
Italy,Ítalía,Ítalíu,ítalska ,ítölsku 
Jamaica,Jamaíka,Jamaíka / Jamaíku,enska ,ensku 
Japan,Japan,Japan,japanska ,japansku 
Yemen,Jemen,Jemen,"arabíska 
","arabísku 
"
Jordan,Jórdanía,Jórdaníu,arabíska ,arabísku 
Cambodia,Kambódía,Kambódíu,"kamb­ód­íska 
","kamb­ód­ísku 
"
